time,par
2014-12-10 02:42:13,120.304
2014-12-10 02:45:13,115.975
2014-12-10 02:48:13,109.735
2014-12-10 02:51:13,105.685
2014-12-10 02:54:14,101.406
2014-12-10 02:57:14,95.472
2014-12-10 03:00:14,89.385
2014-12-10 03:03:14,82.484
2014-12-10 03:06:14,77.517
2014-12-10 03:09:15,70.106
2014-12-10 03:12:15,61.064
2014-12-10 03:15:15,18.378
2014-12-10 03:18:15,16.519
2014-12-10 03:21:16,14.787
2014-12-10 03:24:16,12.316
2014-12-10 03:27:16,9.973
2014-12-10 03:30:16,9.693
2014-12-10 03:52:34,0.652
2014-12-10 04:02:07,-0.113
2014-12-10 04:05:08,-0.851
2014-12-10 04:08:08,-0.24
2014-12-10 04:11:08,-0.291
2014-12-10 04:14:08,-0.265
2014-12-10 04:17:08,-0.291
2014-12-10 04:20:08,-3.857
2014-12-10 04:23:09,-0.265
2014-12-10 04:26:09,-0.265
2014-12-10 04:29:09,-0.291
2014-12-10 04:32:09,-0.265
2014-12-10 04:35:09,-0.265
2014-12-10 04:38:10,-5.258
2014-12-10 04:41:10,-0.265
2014-12-10 04:44:10,-0.265
2014-12-10 04:47:10,-0.291
2014-12-10 04:50:11,-0.265
2014-12-10 04:53:11,-0.265
2014-12-10 04:56:11,-0.265
2014-12-10 04:59:11,-0.265
2014-12-10 05:02:11,-0.265
2014-12-10 05:05:12,-0.265
2014-12-10 05:08:12,-0.367
2014-12-10 05:11:12,-0.265
2014-12-10 05:14:12,-0.265
2014-12-10 05:17:12,-0.265
2014-12-10 05:20:13,-0.265
2014-12-10 05:23:13,-0.265
2014-12-10 05:26:13,-0.265
2014-12-10 05:29:13,-0.749
2014-12-10 05:32:13,-0.265
2014-12-10 05:35:14,-0.265
2014-12-10 05:38:14,-0.265
2014-12-10 05:41:14,-0.265
2014-12-10 05:44:14,-0.291
2014-12-10 05:47:15,-0.265
2014-12-10 05:50:15,-0.265
2014-12-10 05:53:15,-0.265
